edit_history_tweet_ids,created_at,text,id,author_id
['1878073865626157180'],2025-01-11T13:37:57.000Z,"A leaflet with prices from a #Russian supermarket in 2014 &amp; current prices in 2025.

- #CocaCola - 40 ₽ (now ~130)
- #Butter - 63 ₽ (now ~250)
- #Eggs - 65 ₽ (now ~150)
- #Beef - 330 ₽ (now ~800).

That said, #Putin &amp; his bandit buddies have only made #Russia so much better. https://t.co/5uFeFhcoZc",1878073865626157180,1502040713311232010
['1878067187052581228'],2025-01-11T13:11:24.000Z,[ARCHIVE]  Club Coke 2012 par David Guetta https://t.co/pFv0datlDz #cocacola,1878067187052581228,30660836
['1878053348613509425'],2025-01-11T12:16:25.000Z,"My go to ""energy drink"" 😭...whats yours?! #CocaCola #JD #Gurugram #Haryana https://t.co/KZUZIhAEOc",1878053348613509425,1692224180320915456
['1878044183463641508'],2025-01-11T11:40:00.000Z,"1996 Coca Cola Soda Fountain Sweetheart Barbie Doll  https://t.co/GS2k2TDzk3 via @Etsy

Get 25% Off Orders of 2 or More Items

#cocacola #barbie #coke #barbiecollector #cocacolacollector #dollcollector #vintagedoll #barbiedoll #cokecollectibles #vintagefinds #cokecollector",1878044183463641508,860601814659592192
['1878022707830235231'],2025-01-11T10:14:40.000Z,"🎥 Watch our video to uncover the genius behind their success: https://t.co/sDRIx7EID1

#CocaCola #GreatDepression #MarketingStrategies #PauseThatRefreshes #BrandBuilding https://t.co/tRipIXiEbX",1878022707830235231,1825484354799206400
['1877986767367741657'],2025-01-11T07:51:51.000Z,Foodkida on LinkedIn: #cocacola #petbottle #foodtechnology #foodindustry https://t.co/9jc1GEOhcN,1877986767367741657,1724473320823767040
['1877981640858755212'],2025-01-11T07:31:29.000Z,USA #1 Champions of the World!!!!! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #Soda #Pop #CocaCola #DrPepper https://t.co/CZJbSp7L4X,1877981640858755212,1823199416129622016
['1877953537847767200'],2025-01-11T05:39:48.000Z,"Increased Tax Demand against Coca Cola without Intimating Enhancement: Orissa HC quashes Order 
#orisahighcourt #CocaCola #increasedtaxdemand #taxscan #taxnews
Read More: https://t.co/0cDKkCKrCR",1877953537847767200,702872335326445568
['1877899123455590518'],2025-01-11T02:03:35.000Z,"What's your favorite soft drink flavour?

Discontinued Raspberry Spiced Zero!!

#cocacola https://t.co/MwBZGCtcBI",1877899123455590518,1557169035644657665
['1877887823673442606'],2025-01-11T01:18:41.000Z,Movie Night... 🍿🥤🍿🥤🍿🥤🍿 #MovieTime #PopCorn #CocaCola #CinemarkTinseltown #TheLastShowgirl https://t.co/vBcvYib2hy,1877887823673442606,2994798069
['1877883207648936352'],2025-01-11T01:00:20.000Z,"Coca-Cola reported higher-than-expected revenue growth, driving its stock price up. #CocaCola #ConsumerGoods",1877883207648936352,1369702137287090180
['1877883122634944919'],2025-01-11T01:00:00.000Z,"1997 Brunette Barbie with Coca-Cola Fan and Parasol https://t.co/4mu3bnax5z via @Etsy

Get 25% Off Orders of 2 or More Items

#barbie #cocacola #coke #vintagedoll #barbiedoll #barbiecollector #cocacolacollector #cokecollectibles #etsyvintage #cokecollector #cocacolacollectibles",1877883122634944919,860601814659592192
['1877881668335272243'],2025-01-11T00:54:13.000Z,Coca-Cola Collector Cards Series 2 - 1994 - Bundle of 6 - (8 Cards Per Pack) - https://t.co/vCREMG2ApO via @Etsy #cocacola #cocacolamemorabilia #cocacolacards #etsy #etsystore #etsyshop #etsyseller #cocacolaonetsy #cocacolacollectibles,1877881668335272243,1109862014
['1877873303261458626'],2025-01-11T00:20:59.000Z,"Not too early for ChiTime 🛒🥥 🍎🍎 #chivitaontheshelf
#COCACOLA #underthecanopy
#unilag #Lasu #ibadan #bbnaija #cartonrefreshment https://t.co/KF7nzSdDgZ",1877873303261458626,1628442000268697603
['1877868484295532823'],2025-01-11T00:01:50.000Z,Foodkida on LinkedIn: #cocacola #petbottle #foodtechnology #foodindustry https://t.co/W4U5mjqszT,1877868484295532823,1873827097057107968
['1877842089439834335'],2025-01-10T22:16:57.000Z,"This weekend, take off like David: enjoy Coca-Cola, pizza and Napoli

#CocaCola #RealMagic #FridayFeeling @CocaColaIT
https://t.co/oOCYX29DZv",1877842089439834335,824664653447962625
['1877829100070395954'],2025-01-10T21:25:20.000Z,"This weekend, take off like David: enjoy Coca-Cola, Pizza, and Naples

#CocaCola #RealMagic #FridayFeeling @CocaColaIT https://t.co/JRXkUEsWVo",1877829100070395954,454873450
['1877808116898869560'],2025-01-10T20:01:57.000Z,@elonmusk I love #CocaCola https://t.co/ZhFE2UUB8U,1877808116898869560,1872320833257148419
['1877806863904866768'],2025-01-10T19:56:58.000Z,@Naila_Ayad #Cocacola tastes of donkey shit 🤨🇵🇸,1877806863904866768,1609935077097574400
['1877782199409205382'],2025-01-10T18:18:58.000Z,"Am I crazy or does #CocaCola taste different all of a sudden?! 🤷‍♂️ It doesn't matter if it's from a can, bottle, etc?  I swear the formula has changed. 🥤 https://t.co/CjzVxIzRf9",1877782199409205382,42064368
['1877779561049477255'],2025-01-10T18:08:29.000Z,"""Dry ice, only to cool our engine. ⚠️❄️ (And our cans of Coca-Cola!) 🤫🥤 #mclaren #f1 #dryice #cocacola #icetrick #secret"" https://t.co/7R7RUEa2ra",1877779561049477255,1534474250517610498
['1877777550635589857'],2025-01-10T18:00:30.000Z,"Fridays done right with Foundry Distilling Company! 🥃 Welcome back to Foundry Friday—today we’re mixing up a timeless classic with a twist: the Rum &amp; Coke.

#FoundyDistillingCo #RealStuff #CocaCola #Cocktail https://t.co/TZ7vlIiK0T",1877777550635589857,2467830295
['1877773594681331910'],2025-01-10T17:44:46.000Z,"Bought 4 shares of $PEP today at an average price of €139.32 per share. A total of 11 shares now owned, hopefully more will follow This produces a dividend income of $59,62 per year! $PEP $KO #Pepsico #CocaCola #dividend #investing #stockmarket https://t.co/lwQUhCdAg3",1877773594681331910,754030836002029568
['1877773215332016365'],2025-01-10T17:43:16.000Z,“ My Jo #Monalisa with the #diet #cocacola shape #hourglass bottle body” #Nigeriamusic 🇳🇬👸 They say the best part of waking up is a #cupofjo in your cup ☕️ it’s like a hard pill 💊 to swallow but I prefer a white sprite… M on my next book 📖 is for #Musk my vitamin forever! https://t.co/Km8gA7wUhK,1877773215332016365,3741256517
['1877769878079439196'],2025-01-10T17:30:00.000Z,"1997 Coca Cola Checkerboard Serving Bowl https://t.co/vxMjf5wvTl via @Etsy

Get 25% Off Orders of 2 or More Items

#CocaCola #coke #servingbowl #bowl #dinnerware #kitchenware #cocacolacollector #cokecollectibles #etsyvintage #discontinued #tableware #cokecollector",1877769878079439196,860601814659592192
['1877769877689167915'],2025-01-10T17:30:00.000Z,"The Coca-Cola Rooftop Beverage Bar at Disney Springs offers stunning views, unique drinks, and a vibrant atmosphere, making it a top Orlando rooftop spot for cocktails and nightlife. #orlando #florida #cocacola 

Full Video on YouTube: https://t.co/Nh1SjcOVEb https://t.co/Glvp5q9PE0",1877769877689167915,1604398622187159552
['1877757546263462278'],2025-01-10T16:41:00.000Z,@CocaColaCo @CocaCola @CocaColaPRD we want this guy on a Poster this Year. @flowkeythegr8 #cocacola #CocaColaCo @xavierselga https://t.co/0kROXbZZ72,1877757546263462278,1497150252087980039
